sr no,date,start.time,end.time,transect,species,count,source,centroid.lat,centroid.long,management.regime,total.visits,distance.from.village,length,minimum.elevation,average.elevation,maximum.elevation
1,11-19-2021,07:23,08:25,1,Blue-fronted Redstart,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
2,11-19-2021,07:23,08:25,1,Grey Treepie,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
3,11-19-2021,07:23,08:25,1,Wedge-tailed Green-Pigeon,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
4,11-19-2021,07:23,08:25,1,Whiskered Yuhina,6,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
5,11-19-2021,07:23,08:25,1,Grey Sibia,7,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
6,11-19-2021,07:23,08:25,1,Fire-breasted Flowerpecker,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
7,11-19-2021,07:23,08:25,1,Slaty-backed Flycatcher,5,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
8,11-19-2021,07:23,08:25,1,Black-crested Bulbul,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
9,11-19-2021,07:23,08:25,1,Red-tailed Minla,7,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
10,11-19-2021,07:23,08:25,1,Great Barbet,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
11,11-19-2021,07:23,08:25,1,Black-faced Warbler,5,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
12,11-19-2021,07:23,08:25,1,Olive-backed Pipit,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
13,11-19-2021,07:23,08:25,1,Ashy Drongo,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
14,11-19-2021,07:23,08:25,1,Rufous-gorgeted Flycatcher,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
15,11-19-2021,07:23,08:25,1,Rusty-fronted Barwing,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
16,11-19-2021,07:23,08:25,1,Mrs. Gould's Sunbird,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
17,11-19-2021,07:23,08:25,1,Fire-tailed Sunbird,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
18,11-19-2021,07:23,08:25,1,Pygmy Cupwing,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
19,11-19-2021,07:23,08:25,1,Streak-breasted Scimitar-Babbler,6,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
20,12/03/2021,06:48,07:41,1,Black-crested Bulbul,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
21,12/03/2021,06:48,07:41,1,Crested Finchbill,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
22,12/03/2021,06:48,07:41,1,Whiskered Yuhina,6,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
23,12/03/2021,06:48,07:41,1,Red-tailed Minla,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
24,12/03/2021,06:48,07:41,1,Streak-throated Barwing,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
25,12/03/2021,06:48,07:41,1,Rusty-capped Fulvetta,7,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
26,12/03/2021,06:48,07:41,1,Fire-breasted Flowerpecker,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
27,12/03/2021,06:48,07:41,1,Mrs. Gould's Sunbird,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
28,12/03/2021,06:48,07:41,1,Bar-throated Minla,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
29,12/03/2021,06:48,07:41,1,Beautiful Sibia,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
30,12/03/2021,06:48,07:41,1,Flavescent Bulbul,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
31,12/03/2021,06:48,07:41,1,Grey Sibia,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
32,12/03/2021,06:48,07:41,1,Spot-breasted Parrotbill,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
33,12/03/2021,06:48,07:41,1,Great Barbet,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
34,12/03/2021,06:48,07:41,1,Spotted Forktail,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
35,12/03/2021,06:48,07:41,1,Rufous-crowned Prinia,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
36,01/03/2022,07:00,08:10,1,Whiskered Yuhina,13,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
37,01/03/2022,07:00,08:10,1,Mountain Imperial-Pigeon,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
